soc,title,p25_usd,median_usd,p75_usd,p90_usd,source_url
19-2042,"Geoscientists, Except Hydrologists and Geographers",75110,101920,139380,200230,https://officeblues.net/salaries/geoscientists-except-hydrologists-and-geographers-19-2042
47-2121,Glaziers,46320,57080,66610,89790,https://officeblues.net/salaries/glaziers-47-2121
45-2041,"Graders and Sorters, Agricultural Products",34320,35730,38260,44490,https://officeblues.net/salaries/graders-and-sorters-agricultural-products-45-2041
27-1024,Graphic Designers,49040,62960,81830,104910,https://officeblues.net/salaries/graphic-designers-27-1024
51-9022,"Grinding and Polishing Workers, Hand",37450,42660,49980,60810,https://officeblues.net/salaries/grinding-and-polishing-workers-hand-51-9022
51-4033,"Grinding, Lapping, Polishing, & Buffing Machine Tool Setters, Operators, & Tenders, Metal & Plastic",39390,46550,54290,62600,https://officeblues.net/salaries/grinding-lapping-polishing-buffing-machine-tool-setters-operators-tenders-metal-plastic-51-4033
37-3019,"Grounds Maintenance Workers, All Other",37520,46860,57820,74820,https://officeblues.net/salaries/grounds-maintenance-workers-all-other-37-3019
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",30120,35790,48830,71190,https://officeblues.net/salaries/hairdressers-hairstylists-and-cosmetologists-39-5012
47-4041,Hazardous Materials Removal Workers,44720,49450,61530,82410,https://officeblues.net/salaries/hazardous-materials-removal-workers-47-4041
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",90930,115160,142980,171250,https://officeblues.net/salaries/health-and-safety-engineers-except-mining-safety-engineers-and-inspectors-17-2111
21-1091,Health Education Specialists,50620,64070,87130,118200,https://officeblues.net/salaries/health-education-specialists-21-1091
29-9021,Health Information Technologists and Medical Registrars,48940,68020,95630,117420,https://officeblues.net/salaries/health-information-technologists-and-medical-registrars-29-9021
25-1071,"Health Specialties Teachers, Postsecondary",75690,107310,210370,322020,https://officeblues.net/salaries/health-specialties-teachers-postsecondary-25-1071
29-2099,"Health Technologists and Technicians, All Other",44170,50290,64340,85270,https://officeblues.net/salaries/health-technologists-and-technicians-all-other-29-2099
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",83780,115210,161470,195190,https://officeblues.net/salaries/healthcare-diagnosing-or-treating-practitioners-all-other-29-1299
29-9099,"Healthcare Practitioners and Technical Workers, All Other",47750,65790,97000,129830,https://officeblues.net/salaries/healthcare-practitioners-and-technical-workers-all-other-29-9099
21-1022,Healthcare Social Workers,56710,67880,82240,100360,https://officeblues.net/salaries/healthcare-social-workers-21-1022
31-9099,"Healthcare Support Workers, All Other",39470,48430,59710,71470,https://officeblues.net/salaries/healthcare-support-workers-all-other-31-9099
29-2092,Hearing Aid Specialists,48390,65160,80010,94020,https://officeblues.net/salaries/hearing-aid-specialists-29-2092
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",40660,48750,58400,66350,https://officeblues.net/salaries/heat-treating-equipment-setters-operators-and-tenders-metal-and-plastic-51-4191
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",48360,61010,77060,95210,https://officeblues.net/salaries/heating-air-conditioning-and-refrigeration-mechanics-and-installers-49-9021
53-3032,Heavy and Tractor-Trailer Truck Drivers,47960,58640,69120,79380,https://officeblues.net/salaries/heavy-and-tractor-trailer-truck-drivers-53-3032
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",40100,47550,57980,70080,https://officeblues.net/salaries/helpers-brickmasons-blockmasons-stonemasons-and-tile-and-marble-setters-47-3011
47-3012,Helpers--Carpenters,36730,43780,49400,57670,https://officeblues.net/salaries/helpers-carpenters-47-3012
47-3013,Helpers--Electricians,36830,42670,48470,58340,https://officeblues.net/salaries/helpers-electricians-47-3013
47-5081,Helpers--Extraction Workers,41430,47730,57920,68020,https://officeblues.net/salaries/helpers-extraction-workers-47-5081
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",34910,39630,46890,55890,https://officeblues.net/salaries/helpers-installation-maintenance-and-repair-workers-49-9098
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",36830,40470,49090,52000,https://officeblues.net/salaries/helpers-painters-paperhangers-plasterers-and-stucco-masons-47-3014
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",36940,42360,47720,57780,https://officeblues.net/salaries/helpers-pipelayers-plumbers-pipefitters-and-steamfitters-47-3015
51-9198,Helpers--Production Workers,35220,39070,45990,53410,https://officeblues.net/salaries/helpers-production-workers-51-9198
47-3016,Helpers--Roofers,37030,44160,48970,62400,https://officeblues.net/salaries/helpers-roofers-47-3016
47-3019,"Helpers, Construction Trades, All Other",37030,42670,48880,60080,https://officeblues.net/salaries/helpers-construction-trades-all-other-47-3019
47-4051,Highway Maintenance Workers,43500,50260,61040,71970,https://officeblues.net/salaries/highway-maintenance-workers-47-4051
19-3093,Historians,57290,76750,99990,131810,https://officeblues.net/salaries/historians-19-3093
25-1125,"History Teachers, Postsecondary",63920,83820,112090,162160,https://officeblues.net/salaries/history-teachers-postsecondary-25-1125
53-7041,Hoist and Winch Operators,42690,56450,94350,118210,https://officeblues.net/salaries/hoist-and-winch-operators-53-7041
49-9031,Home Appliance Repairers,43780,50990,63390,80660,https://officeblues.net/salaries/home-appliance-repairers-49-9031
31-1120,Home Health and Personal Care Aides,31920,35800,39470,45040,https://officeblues.net/salaries/home-health-and-personal-care-aides-31-1120
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",27570,31200,36250,43990,https://officeblues.net/salaries/hosts-and-hostesses-restaurant-lounge-and-coffee-shop-35-9031
43-4081,"Hotel, Motel, and Resort Desk Clerks",29810,35070,38100,45470,https://officeblues.net/salaries/hotel-motel-and-resort-desk-clerks-43-4081
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",44030,50610,59800,68280,https://officeblues.net/salaries/human-resources-assistants-except-payroll-and-timekeeping-43-4161
11-3121,Human Resources Managers,111110,149280,199290,267810,https://officeblues.net/salaries/human-resources-managers-11-3121
13-1071,Human Resources Specialists,58610,75940,99380,128720,https://officeblues.net/salaries/human-resources-specialists-13-1071
19-4044,Hydrologic Technicians,52040,64790,84680,100480,https://officeblues.net/salaries/hydrologic-technicians-19-4044
19-2043,Hydrologists,77210,96600,122830,153130,https://officeblues.net/salaries/hydrologists-19-2043
17-3026,Industrial Engineering Technologists and Technicians,55760,66120,80280,99150,https://officeblues.net/salaries/industrial-engineering-technologists-and-technicians-17-3026
17-2112,Industrial Engineers,83600,102440,129250,159860,https://officeblues.net/salaries/industrial-engineers-17-2112
49-9041,Industrial Machinery Mechanics,55010,64520,78780,95170,https://officeblues.net/salaries/industrial-machinery-mechanics-49-9041
11-3051,Industrial Production Managers,98160,126060,161880,205520,https://officeblues.net/salaries/industrial-production-managers-11-3051
53-7051,Industrial Truck and Tractor Operators,40030,46420,54770,62520,https://officeblues.net/salaries/industrial-truck-and-tractor-operators-53-7051
19-3032,Industrial-Organizational Psychologists,107310,193950,222280,247220,https://officeblues.net/salaries/industrial-organizational-psychologists-19-3032
43-4199,"Information and Record Clerks, All Other",40910,49500,59970,71420,https://officeblues.net/salaries/information-and-record-clerks-all-other-43-4199
15-1212,Information Security Analysts,97810,129180,163500,199850,https://officeblues.net/salaries/information-security-analysts-15-1212
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",39890,48570,61440,77860,https://officeblues.net/salaries/inspectors-testers-sorters-samplers-and-weighers-51-9061
49-9099,"Installation, Maintenance, and Repair Workers, All Other",42170,49230,61900,77040,https://officeblues.net/salaries/installation-maintenance-and-repair-workers-all-other-49-9099
25-9031,Instructional Coordinators,60780,77440,98820,121670,https://officeblues.net/salaries/instructional-coordinators-25-9031
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",43200,49120,60980,78190,https://officeblues.net/salaries/insulation-workers-floor-ceiling-and-wall-47-2131
47-2132,"Insulation Workers, Mechanical",48100,58340,77360,100220,https://officeblues.net/salaries/insulation-workers-mechanical-47-2132
13-1032,"Insurance Appraisers, Auto Damage",65050,78240,91880,101590,https://officeblues.net/salaries/insurance-appraisers-auto-damage-13-1032
43-9041,Insurance Claims and Policy Processing Clerks,44270,49230,60490,73590,https://officeblues.net/salaries/insurance-claims-and-policy-processing-clerks-43-9041
41-3021,Insurance Sales Agents,46870,62280,96950,138140,https://officeblues.net/salaries/insurance-sales-agents-41-3021
13-2053,Insurance Underwriters,64620,81370,110390,145160,https://officeblues.net/salaries/insurance-underwriters-13-2053
27-1025,Interior Designers,51840,67190,85740,114140,https://officeblues.net/salaries/interior-designers-27-1025
27-3091,Interpreters and Translators,46530,60170,80830,103660,https://officeblues.net/salaries/interpreters-and-translators-27-3091
43-4111,"Interviewers, Except Eligibility and Loan",38330,45920,53090,62810,https://officeblues.net/salaries/interviewers-except-eligibility-and-loan-43-4111
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",32240,36840,44060,50270,https://officeblues.net/salaries/janitors-and-cleaners-except-maids-and-housekeeping-cleaners-37-2011
51-9071,Jewelers and Precious Stone and Metal Workers,39520,52540,69810,87540,https://officeblues.net/salaries/jewelers-and-precious-stone-and-metal-workers-51-9071
23-1023,"Judges, Magistrate Judges, and Magistrates",85710,153990,194950,221710,https://officeblues.net/salaries/judges-magistrate-judges-and-magistrates-23-1023
23-1012,Judicial Law Clerks,52870,64920,80420,113140,https://officeblues.net/salaries/judicial-law-clerks-23-1012
25-2012,"Kindergarten Teachers, Except Special Education",52180,62680,79910,101830,https://officeblues.net/salaries/kindergarten-teachers-except-special-education-25-2012
13-1075,Labor Relations Specialists,71920,95420,123420,156180,https://officeblues.net/salaries/labor-relations-specialists-13-1075
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",36090,40240,46920,55140,https://officeblues.net/salaries/laborers-and-freight-stock-and-material-movers-hand-53-7062
17-1012,Landscape Architects,64170,79870,104090,130190,https://officeblues.net/salaries/landscape-architects-17-1012
37-3011,Landscaping and Groundskeeping Workers,36190,39150,46830,56730,https://officeblues.net/salaries/landscaping-and-groundskeeping-workers-37-3011
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",43250,50620,60700,69700,https://officeblues.net/salaries/lathe-and-turning-machine-tool-setters-operators-and-tenders-metal-and-plastic-51-4034
51-6011,Laundry and Dry-Cleaning Workers,30360,34890,37560,43190,https://officeblues.net/salaries/laundry-and-dry-cleaning-workers-51-6011
25-1112,"Law Teachers, Postsecondary",88700,128500,176490,287900,https://officeblues.net/salaries/law-teachers-postsecondary-25-1112
23-1011,Lawyers,102990,159670,221370,351600,https://officeblues.net/salaries/lawyers-23-1011
51-4192,"Layout Workers, Metal and Plastic",50910,63870,79470,93860,https://officeblues.net/salaries/layout-workers-metal-and-plastic-51-4192
43-6012,Legal Secretaries and Administrative Assistants,44450,55570,71970,91730,https://officeblues.net/salaries/legal-secretaries-and-administrative-assistants-43-6012
23-2099,"Legal Support Workers, All Other",54940,72110,109360,179960,https://officeblues.net/salaries/legal-support-workers-all-other-23-2099
25-4022,Librarians and Media Collections Specialists,56310,68270,84480,103990,https://officeblues.net/salaries/librarians-and-media-collections-specialists-25-4022
43-4121,"Library Assistants, Clerical",31820,36910,45620,55310,https://officeblues.net/salaries/library-assistants-clerical-43-4121
25-1082,"Library Science Teachers, Postsecondary",64080,80340,100910,129120,https://officeblues.net/salaries/library-science-teachers-postsecondary-25-1082
25-4031,Library Technicians,35740,44580,52430,63080,https://officeblues.net/salaries/library-technicians-25-4031
29-2061,Licensed Practical and Licensed Vocational Nurses,59000,64400,76030,83440,https://officeblues.net/salaries/licensed-practical-and-licensed-vocational-nurses-29-2061
19-1099,"Life Scientists, All Other",68990,93750,131910,186260,https://officeblues.net/salaries/life-scientists-all-other-19-1099
19-4099,"Life, Physical, and Social Science Technicians, All Other",48030,62280,79780,102690,https://officeblues.net/salaries/life-physical-and-social-science-technicians-all-other-19-4099
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",28880,33580,37520,43970,https://officeblues.net/salaries/lifeguards-ski-patrol-and-other-recreational-protective-service-workers-33-9092
53-3033,Light Truck Drivers,37270,44860,52310,80310,https://officeblues.net/salaries/light-truck-drivers-53-3033
27-4015,Lighting Technicians,52770,68060,95640,130760,https://officeblues.net/salaries/lighting-technicians-27-4015
47-5044,"Loading and Moving Machine Operators, Underground Mining",61410,74500,79150,87730,https://officeblues.net/salaries/loading-and-moving-machine-operators-underground-mining-47-5044
43-4131,Loan Interviewers and Clerks,45120,50020,60600,69770,https://officeblues.net/salaries/loan-interviewers-and-clerks-43-4131
13-2072,Loan Officers,52730,76690,104080,153180,https://officeblues.net/salaries/loan-officers-13-2072
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",31200,36300,43880,54260,https://officeblues.net/salaries/locker-room-coatroom-and-dressing-room-attendants-39-3093
49-9094,Locksmiths and Safe Repairers,43160,51320,64560,79400,https://officeblues.net/salaries/locksmiths-and-safe-repairers-49-9094
53-4011,Locomotive Engineers,75190,81410,93260,109220,https://officeblues.net/salaries/locomotive-engineers-53-4011
11-9081,Lodging Managers,49530,69250,94030,128880,https://officeblues.net/salaries/lodging-managers-11-9081
45-4023,Log Graders and Scalers,37780,46330,56250,62400,https://officeblues.net/salaries/log-graders-and-scalers-45-4023
45-4022,Logging Equipment Operators,43970,49740,61050,74300,https://officeblues.net/salaries/logging-equipment-operators-45-4022
45-4029,"Logging Workers, All Other",41900,50840,61450,69350,https://officeblues.net/salaries/logging-workers-all-other-45-4029
13-1081,Logisticians,64440,82320,106190,133160,https://officeblues.net/salaries/logisticians-13-1081
53-7063,Machine Feeders and Offbearers,36420,41220,48480,58160,https://officeblues.net/salaries/machine-feeders-and-offbearers-53-7063
51-4041,Machinists,47570,58750,67700,80010,https://officeblues.net/salaries/machinists-51-4041
29-2035,Magnetic Resonance Imaging Technologists,81040,95480,106340,127670,https://officeblues.net/salaries/magnetic-resonance-imaging-technologists-29-2035
37-2012,Maids and Housekeeping Cleaners,30350,35510,39590,48570,https://officeblues.net/salaries/maids-and-housekeeping-cleaners-37-2012
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",35470,39280,46450,54820,https://officeblues.net/salaries/mail-clerks-and-mail-machine-operators-except-postal-service-43-9051
49-9071,"Maintenance and Repair Workers, General",40840,49590,62620,77180,https://officeblues.net/salaries/maintenance-and-repair-workers-general-49-9071
49-9043,"Maintenance Workers, Machinery",48920,60850,75200,88550,https://officeblues.net/salaries/maintenance-workers-machinery-49-9043
39-5091,"Makeup Artists, Theatrical and Performance",34530,97150,143230,167470,https://officeblues.net/salaries/makeup-artists-theatrical-and-performance-39-5091
13-1111,Management Analysts,77950,101860,133370,171640,https://officeblues.net/salaries/management-analysts-13-1111
11-9199,"Managers, All Other",102880,141900,186300,238270,https://officeblues.net/salaries/managers-all-other-11-9199
39-5092,Manicurists and Pedicurists,34010,35760,41650,50140,https://officeblues.net/salaries/manicurists-and-pedicurists-39-5092
49-9095,Manufactured Building and Mobile Home Installers,35800,45990,51970,60810,https://officeblues.net/salaries/manufactured-building-and-mobile-home-installers-49-9095
17-2121,Marine Engineers and Naval Architects,99250,112230,137690,173330,https://officeblues.net/salaries/marine-engineers-and-naval-architects-17-2121
13-1161,Market Research Analysts and Marketing Specialists,58350,78760,108310,155480,https://officeblues.net/salaries/market-research-analysts-and-marketing-specialists-13-1161
11-2021,Marketing Managers,123020,166790,216410,293610,https://officeblues.net/salaries/marketing-managers-11-2021
21-1013,Marriage and Family Therapists,50070,66940,93840,123730,https://officeblues.net/salaries/marriage-and-family-therapists-21-1013
31-9011,Massage Therapists,43480,58450,78320,100200,https://officeblues.net/salaries/massage-therapists-31-9011
53-7199,"Material Moving Workers, All Other",36600,41800,50220,62820,https://officeblues.net/salaries/material-moving-workers-all-other-53-7199
17-2131,Materials Engineers,88080,112860,142720,175720,https://officeblues.net/salaries/materials-engineers-17-2131
19-2032,Materials Scientists,89990,117790,150550,197290,https://officeblues.net/salaries/materials-scientists-19-2032
15-2099,"Mathematical Science Occupations, All Other",60750,81490,107180,154580,https://officeblues.net/salaries/mathematical-science-occupations-all-other-15-2099
25-1022,"Mathematical Science Teachers, Postsecondary",61690,79940,105000,139340,https://officeblues.net/salaries/mathematical-science-teachers-postsecondary-25-1022
15-2021,Mathematicians,88570,126710,157020,195190,https://officeblues.net/salaries/mathematicians-15-2021
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",35350,38300,44170,48150,https://officeblues.net/salaries/meat-poultry-and-fish-cutters-and-trimmers-51-3022
49-9011,Mechanical Door Repairers,46610,55720,65630,78260,https://officeblues.net/salaries/mechanical-door-repairers-49-9011
17-3013,Mechanical Drafters,58080,71550,86120,106580,https://officeblues.net/salaries/mechanical-drafters-17-3013
17-3027,Mechanical Engineering Technologists and Technicians,59510,74510,88110,106050,https://officeblues.net/salaries/mechanical-engineering-technologists-and-technicians-17-3027
17-2141,Mechanical Engineers,84130,104110,132590,164340,https://officeblues.net/salaries/mechanical-engineers-17-2141
27-4099,"Media and Communication Equipment Workers, All Other",49340,70720,106780,135470,https://officeblues.net/salaries/media-and-communication-equipment-workers-all-other-27-4099
27-3099,"Media and Communication Workers, All Other",49790,73620,103820,134270,https://officeblues.net/salaries/media-and-communication-workers-all-other-27-3099
11-9111,Medical and Health Services Managers,94700,123860,166100,224340,https://officeblues.net/salaries/medical-and-health-services-managers-11-9111
51-9082,Medical Appliance Technicians,42210,48030,60580,75740,https://officeblues.net/salaries/medical-appliance-technicians-51-9082
31-9092,Medical Assistants,38470,45690,49180,59310,https://officeblues.net/salaries/medical-assistants-31-9092
29-2036,Medical Dosimetrists,132080,147470,167030,185450,https://officeblues.net/salaries/medical-dosimetrists-29-2036
31-9093,Medical Equipment Preparers,39800,47700,58570,69950,https://officeblues.net/salaries/medical-equipment-preparers-31-9093
49-9062,Medical Equipment Repairers,47470,61660,78500,98280,https://officeblues.net/salaries/medical-equipment-repairers-49-9062
29-2072,Medical Records Specialists,43490,51140,64820,81150,https://officeblues.net/salaries/medical-records-specialists-29-2072
19-1042,"Medical Scientists, Except Epidemiologists",79840,103410,139380,177780,https://officeblues.net/salaries/medical-scientists-except-epidemiologists-19-1042
43-6013,Medical Secretaries and Administrative Assistants,38570,45930,50580,60530,https://officeblues.net/salaries/medical-secretaries-and-administrative-assistants-43-6013
31-9094,Medical Transcriptionists,34150,40410,48000,55950,https://officeblues.net/salaries/medical-transcriptionists-31-9094
13-1121,"Meeting, Convention, and Event Planners",46970,61160,78790,101700,https://officeblues.net/salaries/meeting-convention-and-event-planners-13-1121
21-1023,Mental Health and Substance Abuse Social Workers,47070,60280,79730,104170,https://officeblues.net/salaries/mental-health-and-substance-abuse-social-workers-21-1023
27-1026,Merchandise Displayers and Window Trimmers,35130,39390,47220,58370,https://officeblues.net/salaries/merchandise-displayers-and-window-trimmers-27-1026
51-4199,"Metal Workers and Plastic Workers, All Other",39190,45950,54100,65510,https://officeblues.net/salaries/metal-workers-and-plastic-workers-all-other-51-4199
51-4051,Metal-Refining Furnace Operators and Tenders,46080,54430,62810,74470,https://officeblues.net/salaries/metal-refining-furnace-operators-and-tenders-51-4051
43-5041,"Meter Readers, Utilities",39410,48150,65750,85930,https://officeblues.net/salaries/meter-readers-utilities-43-5041
19-1022,Microbiologists,67100,87990,122350,150000,https://officeblues.net/salaries/microbiologists-19-1022
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",58530,64370,80490,102540,https://officeblues.net/salaries/middle-school-teachers-except-special-and-careertechnical-education-25-2022
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",45210,52800,64900,81030,https://officeblues.net/salaries/milling-and-planing-machine-setters-operators-and-tenders-metal-and-plastic-51-4035
49-9044,Millwrights,56390,65700,81500,93600,https://officeblues.net/salaries/millwrights-49-9044
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",85280,106220,136590,169990,https://officeblues.net/salaries/mining-and-geological-engineers-including-mining-safety-engineers-17-2151
51-2090,Miscellaneous Assemblers and Fabricators,37380,44650,51200,64880,https://officeblues.net/salaries/miscellaneous-assemblers-and-fabricators-51-2090
47-4090,Miscellaneous Construction and Related Workers,42810,49910,62440,78700,https://officeblues.net/salaries/miscellaneous-construction-and-related-workers-47-4090
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",42850,48990,59860,70200,https://officeblues.net/salaries/mixing-and-blending-machine-setters-operators-and-tenders-51-9023
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",56970,65510,79270,94460,https://officeblues.net/salaries/mobile-heavy-equipment-mechanics-except-engines-49-3042
51-4061,"Model Makers, Metal and Plastic",47360,63340,86740,99010,https://officeblues.net/salaries/model-makers-metal-and-plastic-51-4061
51-7031,"Model Makers, Wood",37660,56550,87150,98050,https://officeblues.net/salaries/model-makers-wood-51-7031
41-9012,Models,35710,48470,99320,131470,https://officeblues.net/salaries/models-41-9012
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",39280,46170,53000,61530,https://officeblues.net/salaries/molders-shapers-and-casters-except-metal-and-plastic-51-9195
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",37270,44350,51020,61600,https://officeblues.net/salaries/molding-coremaking-and-casting-machine-setters-operators-and-tenders-metal-and-plastic-51-4072
39-4031,"Morticians, Undertakers, and Funeral Arrangers",42430,55010,72010,88620,https://officeblues.net/salaries/morticians-undertakers-and-funeral-arrangers-39-4031
39-3021,Motion Picture Projectionists,30040,38270,77730,88310,https://officeblues.net/salaries/motion-picture-projectionists-39-3021
53-3099,"Motor Vehicle Operators, All Other",31220,37180,48980,66500,https://officeblues.net/salaries/motor-vehicle-operators-all-other-53-3099
49-3051,Motorboat Mechanics and Service Technicians,46750,57550,66620,79330,https://officeblues.net/salaries/motorboat-mechanics-and-service-technicians-49-3051
53-5022,Motorboat Operators,42760,47520,69010,84530,https://officeblues.net/salaries/motorboat-operators-53-5022
49-3052,Motorcycle Mechanics,39550,48580,61510,74400,https://officeblues.net/salaries/motorcycle-mechanics-49-3052
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",39420,47180,57800,74450,https://officeblues.net/salaries/multiple-machine-tool-setters-operators-and-tenders-metal-and-plastic-51-4081
25-4013,Museum Technicians and Conservators,41050,51440,67640,87530,https://officeblues.net/salaries/museum-technicians-and-conservators-25-4013
27-2041,Music Directors and Composers,53110,73710,104090,165760,https://officeblues.net/salaries/music-directors-and-composers-27-2041
49-9063,Musical Instrument Repairers and Tuners,37670,46420,58430,71600,https://officeblues.net/salaries/musical-instrument-repairers-and-tuners-49-9063
11-9121,Natural Sciences Managers,119430,167220,221540,316850,https://officeblues.net/salaries/natural-sciences-managers-11-9121
15-1244,Network and Computer Systems Administrators,78010,99130,126640,155050,https://officeblues.net/salaries/network-and-computer-systems-administrators-15-1244
29-1217,Neurologists,155990,248560,357990,450780,https://officeblues.net/salaries/neurologists-29-1217
43-4141,New Accounts Clerks,43920,47670,55100,60910,https://officeblues.net/salaries/new-accounts-clerks-43-4141
27-3023,"News Analysts, Reporters, and Journalists",45370,62200,98450,144140,https://officeblues.net/salaries/news-analysts-reporters-and-journalists-27-3023
17-2161,Nuclear Engineers,108690,133970,163630,196290,https://officeblues.net/salaries/nuclear-engineers-17-2161
29-2033,Nuclear Medicine Technologists,86720,101370,117120,134500,https://officeblues.net/salaries/nuclear-medicine-technologists-29-2033
51-8011,Nuclear Power Reactor Operators,109440,122890,130490,149310,https://officeblues.net/salaries/nuclear-power-reactor-operators-51-8011
19-4051,Nuclear Technicians,99110,110240,123990,133600,https://officeblues.net/salaries/nuclear-technicians-19-4051
29-1151,Nurse Anesthetists,206730,236590,294350,339500,https://officeblues.net/salaries/nurse-anesthetists-29-1151
29-1161,Nurse Midwives,116510,134040,157400,188320,https://officeblues.net/salaries/nurse-midwives-29-1161
29-1171,Nurse Practitioners,117990,132300,156700,174420,https://officeblues.net/salaries/nurse-practitioners-29-1171
31-1131,Nursing Assistants,37260,42260,47220,51980,https://officeblues.net/salaries/nursing-assistants-31-1131
25-1072,"Nursing Instructors and Teachers, Postsecondary",63510,80250,101090,129500,https://officeblues.net/salaries/nursing-instructors-and-teachers-postsecondary-25-1072
29-1218,Obstetricians and Gynecologists,179810,292910,369390,437300,https://officeblues.net/salaries/obstetricians-and-gynecologists-29-1218
19-5011,Occupational Health and Safety Specialists,69560,90150,111690,134950,https://officeblues.net/salaries/occupational-health-and-safety-specialists-19-5011
19-5012,Occupational Health and Safety Technicians,52470,61560,78850,100160,https://officeblues.net/salaries/occupational-health-and-safety-technicians-19-5012
29-1122,Occupational Therapists,82510,100330,116670,131950,https://officeblues.net/salaries/occupational-therapists-29-1122
31-2012,Occupational Therapy Aides,35920,39160,46780,70200,https://officeblues.net/salaries/occupational-therapy-aides-31-2012
31-2011,Occupational Therapy Assistants,61710,72300,79160,89780,https://officeblues.net/salaries/occupational-therapy-assistants-31-2011
43-9199,"Office and Administrative Support Workers, All Other",34320,45670,58460,71940,https://officeblues.net/salaries/office-and-administrative-support-workers-all-other-43-9199
43-9061,"Office Clerks, General",36350,45010,54300,64680,https://officeblues.net/salaries/office-clerks-general-43-9061
43-9071,"Office Machine Operators, Except Computer",36090,40960,47910,57960,https://officeblues.net/salaries/office-machine-operators-except-computer-43-9071
47-2073,Operating Engineers and Other Construction Equipment Operators,48680,59850,77170,101090,https://officeblues.net/salaries/operating-engineers-and-other-construction-equipment-operators-47-2073
15-2031,Operations Research Analysts,68360,88940,125990,159910,https://officeblues.net/salaries/operations-research-analysts-15-2031
51-9083,Ophthalmic Laboratory Technicians,36470,39460,47010,57380,https://officeblues.net/salaries/ophthalmic-laboratory-technicians-51-9083
29-2057,Ophthalmic Medical Technicians,38170,45570,51390,61940,https://officeblues.net/salaries/ophthalmic-medical-technicians-29-2057
29-1241,"Ophthalmologists, Except Pediatric",173650,300080,421530,489710,https://officeblues.net/salaries/ophthalmologists-except-pediatric-29-1241
29-2081,"Opticians, Dispensing",38820,47260,61700,76750,https://officeblues.net/salaries/opticians-dispensing-29-2081
29-1041,Optometrists,109400,136570,165120,202180,https://officeblues.net/salaries/optometrists-29-1041
29-1022,Oral and Maxillofacial Surgeons,204610,352220,428710,622640,https://officeblues.net/salaries/oral-and-maxillofacial-surgeons-29-1022
43-4151,Order Clerks,39660,46170,54310,63530,https://officeblues.net/salaries/order-clerks-43-4151
31-1132,Orderlies,35570,38290,44560,50600,https://officeblues.net/salaries/orderlies-31-1132
29-1023,Orthodontists,146580,289140,342300,416000,https://officeblues.net/salaries/orthodontists-29-1023
29-1242,"Orthopedic Surgeons, Except Pediatric",180610,358550,530700,659290,https://officeblues.net/salaries/orthopedic-surgeons-except-pediatric-29-1242
29-2091,Orthotists and Prosthetists,61290,81110,99990,119810,https://officeblues.net/salaries/orthotists-and-prosthetists-29-2091
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,40670,47880,58560,67260,https://officeblues.net/salaries/outdoor-power-equipment-and-other-small-engine-mechanics-49-3053
51-9111,Packaging and Filling Machine Operators and Tenders,36850,43220,49070,60030,https://officeblues.net/salaries/packaging-and-filling-machine-operators-and-tenders-51-9111
53-7064,"Packers and Packagers, Hand",32220,36280,43060,47100,https://officeblues.net/salaries/packers-and-packagers-hand-53-7064
47-2141,"Painters, Construction and Maintenance",44640,49400,61660,78810,https://officeblues.net/salaries/painters-construction-and-maintenance-47-2141
51-9123,"Painting, Coating, and Decorating Workers",37030,41600,50360,60820,https://officeblues.net/salaries/painting-coating-and-decorating-workers-51-9123
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",44920,50270,60180,70320,https://officeblues.net/salaries/paper-goods-machine-setters-operators-and-tenders-51-9196
